column
ind_D
ind_N
vreg_TRL_STRL
crpp_P0000
ind_M
wst_RCV_E
ind_G
ind_I
crpp_C0000
crpp_I0000
marit_freight
heco_CDD
heco_HDD
air_freight
crpp_G0000
air_person
marit_person
wst_DSP_I
crpp_R0000
ind_E
vreg_CAR
vreg_TOT_X_TM
ind_B
ind_J
ind_C
vreg_MOTO
population
ind_H
lst_A2000
ind_L
ind_F
