NUTS_ID,NUTS_NAME,year,NO2,O3,PM10,PM25,SO2
ES51,Cataluña,1990,,30.0985,,,44.35833333333334
ES51,Cataluña,1991,54.21450000000001,39.983000000000004,,,25.27725
ES51,Cataluña,1992,53.8895,37.95011111111111,,,31.37075
ES51,Cataluña,1993,47.37600000000001,33.07,,,32.70975
ES51,Cataluña,1995,57.94483333333333,33.50366666666667,,,25.872
ES51,Cataluña,1996,56.86783333333333,,,,13.842
ES51,Cataluña,1997,43.80538888888889,48.46342105263157,60.442,,13.720531250000002
ES51,Cataluña,1998,42.44663888888889,48.18540740740742,62.548,,14.214874999999996
ES51,Cataluña,1999,39.74718055555555,48.274838383838386,46.62000000000001,,10.185676470588238
ES51,Cataluña,2000,35.381643835616444,46.69432323232323,,,7.8612608695652195
ES51,Cataluña,2001,34.28916842105263,45.51805263157893,47.67066666666667,,9.818526881720434
ES51,Cataluña,2002,35.678712765957435,44.53971014492751,48.157071428571435,10.645,11.568904255319149
ES51,Cataluña,2003,34.83142187499999,54.998351351351346,42.9645625,13.253,5.627109375
ES51,Cataluña,2004,33.43079032258064,49.78571666666668,38.096363636363634,12.582,4.882343749999999
ES51,Cataluña,2005,34.525571428571446,52.33957723577235,41.95385454545454,9.935,5.1517875
ES51,Cataluña,2006,32.411734042553185,52.972687500000006,43.10972131147541,16.596666666666668,4.182836956521739
ES51,Cataluña,2007,30.58576470588233,53.64008666666667,40.07821621621623,17.1645,4.414192307692304
ES51,Cataluña,2008,26.77993877551021,53.73928930817607,33.51301388888888,13.365999999999998,3.4121274509803934
ES51,Cataluña,2009,28.29431250000001,58.57931292517005,30.92715189873419,13.865461538461535,3.5384107142857144
ES51,Cataluña,2010,27.16563934426229,61.03885534591195,24.88867088607595,13.077407407407405,3.51128813559322
ES51,Cataluña,2011,25.54822222222222,56.195113221772864,26.347500000000004,14.708030904242426,2.737076086956523
ES51,Cataluña,2012,,54.403338069767436,25.80351447373495,16.147778692,
ES51,Cataluña,2013,25.39167080327869,56.89970841860467,21.4869061,13.124247323529413,2.3441329130434783
ES51,Cataluña,2014,24.330397492307696,58.05105570370371,22.551481965393254,12.832411229117648,2.290907931818181
ES51,Cataluña,2015,25.845538184615393,60.594544423076925,26.05162642268041,15.750142852941178,2.4236877441860463
ES51,Cataluña,2016,23.965111092307684,55.48678388235293,22.061940068181812,13.113687942857144,2.3512794772727266
ES51,Cataluña,2017,25.268393079365072,55.442178058823536,23.31687383720931,13.876735647058823,2.324941704545455
ES51,Cataluña,2018,22.674827555555574,55.447019718750006,21.913913440476197,13.163614,2.2766355000000003
ES51,Cataluña,2019,22.08475021875,48.54641421276594,22.72058977922079,13.16408303125,2.4555213658536594
